title,speaker,line_count,gender,accuracy
Forrest Gump,1ST PLAYER,1,male,0
Forrest Gump,1ST REPORTER,1,male,0
Forrest Gump,1ST SOLDIER,2,male,0
Forrest Gump,2ND PLAYER,1,male,0
Forrest Gump,2ND REPORTER,2,male,0
Forrest Gump,2ND SOLDIER,1,male,0
Silence of the Lambs,2ND TV ANCHOR,5,unclear,83
Forrest Gump,2ND WOUNDED SOLDIER,2,male,82
Forrest Gump,3RD PLAYER,1,male,0
Forrest Gump,3RD REPORTER,2,male,0
Silence of the Lambs,A COP,1,male,87
Forrest Gump,ABBIE HOFFMAN,19,female,98
One Flew Over the Cuckoo's Nest,ACUTES,18,unclear,0
The Matrix,AGENT BROWN,11,male,0
The Matrix,AGENT JONES,18,male,91
The Matrix,AGENT SMITH,191,male,90
Forrest Gump,AGING HIPPIE,11,male,67
One Flew Over the Cuckoo's Nest,AIDE,4,female,100
Fight Club,ALL SPACE MONKEYS,3,male,83
Forrest Gump,ANCHORMAN,32,male,100
The Shawshank Redemption,ANDY,451,male,95
Fight Club,ANGEL FACE,8,male,71
Forrest Gump,ANNOUNCER,14,unclear,75
Seven,ANOTHER COP,1,male,87
Fight Club,ANOTHER SPACE MONKEY,3,male,0
The Matrix,ANTHONY,13,male,99
The Matrix,APOC,11,male,100
Godfather,APPOLONIA,5,female,100
Silence of the Lambs,ARDELIA,42,female,97
Inception,ARIADNE,284,female,97
Forrest Gump,ARMY BUS DRIVER,5,male,81
Inception,ARTHUR,256,male,99
Forrest Gump,ASSISTANT COACH,2,male,0
Silence of the Lambs,ATTENDANT,6,male,0
One Flew Over the Cuckoo's Nest,ATTENDANT,1,unclear,0
Inception,ATTENDANT,3,unclear,0
Fight Club,ATTENDANT,2,female,0
Fight Club,BALD DETECTIVE,4,male,88
Fight Club,BALDY,4,male,96
One Flew Over the Cuckoo's Nest,BANCINI,16,male,0
Fight Club,BANDAGED PROPRIETOR,9,unclear,0
Seven,BARKER,4,male,80
Silence of the Lambs,BARNEY,6,male,97
Fight Club,BARTENDER,2,male,96
Godfather,BARZINI,26,male,100
Seven,BEARDSLEY,13,male,75
Forrest Gump,BERT,3,male,98
The Matrix,BIG COP,4,male,95
One Flew Over the Cuckoo's Nest,BIG NURSE,327,female,95
One Flew Over the Cuckoo's Nest,BILLY,102,male,97
Forrest Gump,BILLY,6,male,97
Seven,BLACK COP,1,male,87
Forrest Gump,BLACK PANTHER,1,male,56
Forrest Gump,BLACK WOMAN,3,female,
The Shawshank Redemption,BLATCH,15,male,75
Seven,BLEEKER,50,unclear,0
Seven,BLOND COP,1,male,87
Inception,BLONDE,6,female,86
Fight Club,BOB,33,male,97
The Shawshank Redemption,BOB,3,male,97
Forrest Gump,BOB HOPE,2,male,100
The Shawshank Redemption,BOGS,19,male,88
Godfather,BONASERA,60,male,50
Fight Club,BOSS,31,male,100
The Matrix,BOY,2,male,
Forrest Gump,BOY,3,male,
Forrest Gump,BOY #1,3,male,
Forrest Gump,BOY #2,7,male,
Forrest Gump,BOY #3,4,male,
Silence of the Lambs,BOYLE,12,male,
Pulp Fiction,BRETT,32,male,98
Silence of the Lambs,BRIGHAM,36,male,98
One Flew Over the Cuckoo's Nest,BROMDEN,12,male,75
The Shawshank Redemption,BROOKS,94,male,97
Inception,BROWNING,67,male,83
Fight Club,BRUISED MAN #1,1,male,
Fight Club,BRUISED MAN #2,2,male,
Fight Club,BRUISED PATRON #1,3,male,67
Fight Club,BRUISED PATRON #2,2,male,67
Fight Club,BRUISED PATRON 12,1,male,67
Godfather,BRUNO,1,male,99
Forrest Gump,BUBBA,84,male,92
Forrest Gump,BUBBA & FORREST,1,unclear,100
Forrest Gump,BUBBA AND FORREST,1,unclear,
Pulp Fiction,BUDDY,8,male,100
Silence of the Lambs,BURKE,16,male,91
Silence of the Lambs,BURROUGHS,2,male,100
Forrest Gump,BUS DRIVER,3,male,100
Fight Club,BUSINESS WOMAN,4,female,
Pulp Fiction,BUTCH,250,male,97
Godfather,BUTTON MAN,3,male,
Forrest Gump,CAB DRIVER,1,male,93
Inception,CAB DRIVER,2,male,93
The Matrix,CABLE,6,male,100
Seven,CALIFORNIA,28,male,68
Godfather,CALO,9,male,92
One Flew Over the Cuckoo's Nest,CANDY,26,female,100
One Flew Over the Cuckoo's Nest,CANDY AND ROSE,1,unclear,
Pulp Fiction,CAPT. KOONS,81,male,67
Seven,CAPTAIN,85,male,100
Forrest Gump,CARLA,18,female,98
Godfather,CARLO,25,male,99
Silence of the Lambs,CATHERINE,51,female,98
The Shawshank Redemption,CHAPLAIN,3,unclear,83
One Flew Over the Cuckoo's Nest,CHESWICK,40,male,0
One Flew Over the Cuckoo's Nest,CHESWTCK,4,male,0
Forrest Gump,CHET HUNTLEY,15,male,98
Inception,CHILDRENS,2,unclear,57
Silence of the Lambs,CHILTON,132,male,94
Fight Club,CHLOE,13,female,98
Seven,CHRIS,2,male,93
Silence of the Lambs,CLARICE,565,female,98
Godfather,CLEMENZA,144,male,78
Seven,CLERK,1,unclear,0
Fight Club,CLERK,1,unclear,0
Forrest Gump,CLEVELAND,2,male,96
Inception,COBB,989,male,74
Silence of the Lambs,CODY,1,male,96
Fight Club,COMMISSIONER JACOBS,5,male,79
The Shawshank Redemption,CON,3,male,69
Godfather,CONNIE,55,female,96
Godfather,COP,1,male,87
The Matrix,COP,4,male,87
Seven,COP,4,male,87
Fight Club,COP,3,male,87
The Matrix,COPS,1,unclear,89
Silence of the Lambs,CRAWFORD,400,male,95
Seven,CRAZED MAN,15,male,
Forrest Gump,CROWD,8,unclear,0
The Matrix,CYPHER,147,male,95
The Shawshank Redemption,D.A.,92,male,75
Forrest Gump,DALLAS,1,male,79
Seven,DARIO,1,male,99
Silence of the Lambs,DARK FIGURE,1,unclear,0
Seven,DAVIS,10,male,98
Forrest Gump,DEAN,2,male,98
The Shawshank Redemption,DEKINS,7,male,100
