line_number,title,script,label,speaker,gender
1,The Shawshank Redemption,THE SHAWSHANK REDEMPTION,other,NO SPEAKER,NA
2,The Shawshank Redemption,by,other,NO SPEAKER,NA
3,The Shawshank Redemption,Frank Darabont,other,NO SPEAKER,NA
4,The Shawshank Redemption,Based upon the story,other,NO SPEAKER,NA
5,The Shawshank Redemption,Rita Hayworth and Shawshank Redemption,other,NO SPEAKER,NA
6,The Shawshank Redemption,by Stephen King,other,NO SPEAKER,NA
7,The Shawshank Redemption,1INT -- CABIN -- NIGHT (1946),other,NO SPEAKER,NA
8,The Shawshank Redemption,"A dark, empty room.",other,NO SPEAKER,NA
9,The Shawshank Redemption,"The door bursts open. A MAN and WOMAN enter, drunk and",other,NO SPEAKER,NA
10,The Shawshank Redemption,"giggling, horny as hell. No sooner is the door shut than",other,NO SPEAKER,NA
11,The Shawshank Redemption,"they're all over each other, ripping at clothes, pawing at",other,NO SPEAKER,NA
12,The Shawshank Redemption,"flesh, mouths locked together.",other,NO SPEAKER,NA
13,The Shawshank Redemption,"He gropes for a lamp, tries to turn it on, knocks it over",other,NO SPEAKER,NA
14,The Shawshank Redemption,"instead. Hell with it. He's got more urgent things to do, like",other,NO SPEAKER,NA
15,The Shawshank Redemption,getting her blouse open and his hands on her breasts. She,other,NO SPEAKER,NA
16,The Shawshank Redemption,"arches, moaning, fumbling with his fly. He slams her against",other,NO SPEAKER,NA
17,The Shawshank Redemption,"the wall, ripping her skirt. We hear fabric tear.",other,NO SPEAKER,NA
18,The Shawshank Redemption,"He enters her right then and there, roughly, up against the",other,NO SPEAKER,NA
19,The Shawshank Redemption,"wall. She cries out, hitting her head against the wall but not",other,NO SPEAKER,NA
20,The Shawshank Redemption,"caring, grinding against him, clawing his back, shivering with",other,NO SPEAKER,NA
21,The Shawshank Redemption,the sensations running through her. He carries her across the,other,NO SPEAKER,NA
22,The Shawshank Redemption,room with her legs wrapped around him. They fall onto the bed.,other,NO SPEAKER,NA
23,The Shawshank Redemption,"CAMERA PULLS BACK, exiting through the window, traveling",other,NO SPEAKER,NA
24,The Shawshank Redemption,smoothly outside...,other,NO SPEAKER,NA
25,The Shawshank Redemption,2EXT -- CABIN -- NIGHT (1946) 2,other,NO SPEAKER,NA
26,The Shawshank Redemption,"...to reveal the bungalow, remote in a wooded area, the",other,NO SPEAKER,NA
27,The Shawshank Redemption,lovers' cries spilling into the night...,other,NO SPEAKER,NA
28,The Shawshank Redemption,"...and we drift down a wooded path, the sounds of rutting",other,NO SPEAKER,NA
29,The Shawshank Redemption,"passion growing fainter, mingling now with the night sounds of",other,NO SPEAKER,NA
30,The Shawshank Redemption,crickets and hoot owls...,other,NO SPEAKER,NA
31,The Shawshank Redemption,"...and we begin to hear FAINT MUSIC in the woods, tinny and",other,NO SPEAKER,NA
32,The Shawshank Redemption,"incongruous, and still we keep PULLING BACK until...",other,NO SPEAKER,NA
