title,speaker,gender,line_count,grouped_ranking,overall_ranking,word_count
Fight Club,ALL SPACE MONKEYS,male,3,1,330,6
Fight Club,ANGEL FACE,male,8,1,223,12
Fight Club,ANOTHER SPACE MONKEY,male,3,1,331,4
Fight Club,ATTENDANT,female,2,1,377,5
Fight Club,BALD DETECTIVE,male,4,1,303,5
Fight Club,BALDY,male,4,1,304,5
Fight Club,BANDAGED PROPRIETOR,unclear,9,1,209,15
Fight Club,BARTENDER,male,2,1,378,2
Fight Club,BOB,male,33,1,93,54
Fight Club,BOSS,male,31,1,98,47
Fight Club,BRUISED MAN #1,male,1,1,445,1
Fight Club,BRUISED MAN #2,male,2,1,379,2
Fight Club,BRUISED PATRON #1,male,3,1,332,5
Fight Club,BRUISED PATRON #2,male,2,1,380,3
Fight Club,BRUISED PATRON 12,male,1,1,446,3
Fight Club,BUSINESS WOMAN,female,4,1,305,5
Fight Club,CHLOE,female,13,1,164,18
Fight Club,COMMISSIONER JACOBS,male,5,1,277,9
Fight Club,COP,male,3,1,333,6
Fight Club,DESK CLERK,female,5,1,278,10
Fight Club,DETECTIVE STERN,male,30,1,100,54
Fight Club,DIFFERENT VOICE,unclear,1,1,448,3
Fight Club,DOORMAN,male,10,1,199,13
Fight Club,EVERYONE,unclear,2,1,381,1
Fight Club,FAT MAN,male,3,1,334,4
Fight Club,FLAT-TOP DETECTIVE,unclear,2,1,382,2
Fight Club,FLAT-TOP,male,5,1,279,4
Fight Club,FRECKLED SPACE MONKEY,male,7,1,236,12
Fight Club,GOATEED MAN,male,1,1,450,1
Fight Club,HARSH VOICE,male,1,1,451,2
Fight Club,INTERN,male,9,1,210,19
Fight Club,IRVINE,male,1,1,452,3
Fight Club,JACK,male,1189,1,1,1719
Fight Club,KITCHEN WORKERS,unclear,2,1,383,4
Fight Club,LEADER,female,41,1,81,70
Fight Club,LOU,male,17,1,140,13
Fight Club,MAN,male,1,1,454,1
Fight Club,MARLA,female,207,1,26,234
Fight Club,MECHANIC,male,14,1,161,23
Fight Club,OPPONENT,unclear,1,1,455,1
Fight Club,OTHERS TOGETHER,unclear,1,1,456,1
Fight Club,PENGUIN,unclear,1,1,457,1
Fight Club,RAYMOND,male,11,1,187,10
Fight Club,REDHEAD DETECTIVE,unclear,1,1,458,2
Fight Club,REDHEAD,unclear,7,1,237,10
Fight Club,REPORTER,female,4,1,306,6
Fight Club,RICKY AND MECHANIC,male,3,1,335,7
Fight Club,RICKY,male,16,1,146,23
Fight Club,SECOND MAN,male,1,1,459,2
Fight Club,SECURITY TFM,male,18,1,131,35
Fight Club,SEMINARIAN,unclear,1,1,460,1
Fight Club,SHORT SPACE MONKEY,male,2,1,384,3
Fight Club,SPEAKER,unclear,8,1,224,12
Fight Club,STERN,male,4,1,307,6
Fight Club,TALL SPACE MONKEY,male,1,1,461,1
Fight Club,TECHNICIAN #1,unclear,6,1,253,12
Fight Club,TECHNICIAN #2,unclear,3,1,336,7
Fight Club,TYLER,male,652,1,7,1017
Fight Club,VALET,male,2,1,385,4
Fight Club,VOICE,unclear,11,1,188,17
Fight Club,WAITER,male,5,1,280,10
Fight Club,WALTER,male,8,1,225,11
Fight Club,WOUNDED BARTENDER,male,9,1,211,12
Fight Club,YUPPIE,male,6,1,254,3
Forrest Gump,1ST PLAYER,male,1,1,462,2
Forrest Gump,1ST REPORTER,male,1,1,463,1
Forrest Gump,1ST SOLDIER,male,2,1,386,2
Forrest Gump,2ND PLAYER,male,1,1,464,1
Forrest Gump,2ND REPORTER,male,2,1,387,2
Forrest Gump,2ND WOUNDED SOLDIER,male,2,1,388,2
Forrest Gump,3RD PLAYER,male,1,1,466,1
Forrest Gump,3RD REPORTER,male,2,1,389,3
Forrest Gump,ABBIE HOFFMAN,female,19,1,122,25
Forrest Gump,AGING HIPPIE,male,11,1,189,15
Forrest Gump,ANCHORMAN,male,32,1,95,76
Forrest Gump,ANNOUNCER,unclear,14,1,162,36
Forrest Gump,ARMY BUS DRIVER,male,5,1,281,9
Forrest Gump,ASSISTANT COACH,male,2,1,390,1
Forrest Gump,BERT,male,3,1,337,1
Forrest Gump,BILLY,male,6,1,255,7
Forrest Gump,BLACK PANTHER,male,1,1,467,3
Forrest Gump,BLACK WOMAN,female,3,1,338,4
Forrest Gump,BOB HOPE,male,2,1,391,4
Forrest Gump,BOY #1,male,3,1,340,2
Forrest Gump,BOY #2,male,7,1,238,7
Forrest Gump,BOY #3,male,4,1,308,2
Forrest Gump,BOY,male,3,1,339,3
Forrest Gump,BUBBA & FORREST,unclear,1,1,468,2
Forrest Gump,BUBBA AND FORREST,unclear,1,1,469,2
Forrest Gump,BUBBA,male,84,1,58,148
Forrest Gump,BUS DRIVER,male,3,1,341,5
Forrest Gump,CAB DRIVER,male,1,1,470,1
Forrest Gump,CARLA,female,18,1,132,19
Forrest Gump,CHET HUNTLEY,male,15,1,154,42
Forrest Gump,CLEVELAND,male,2,1,392,3
Forrest Gump,CROWD,unclear,8,1,226,13
Forrest Gump,DALLAS,male,1,1,471,2
Forrest Gump,DEAN,male,2,1,393,2
Forrest Gump,DICK CAVETT,male,6,1,256,6
Forrest Gump,DICK CLARK,male,12,1,176,26
Forrest Gump,DJ,male,20,1,119,44
Forrest Gump,DOCTOR,unclear,12,1,177,11
Forrest Gump,DRILL SERGEANT,male,25,1,113,43
Forrest Gump,DRIVER,unclear,2,1,394,1
Forrest Gump,EARL,male,3,1,342,7
Forrest Gump,ELDERLY WOMAN,female,11,1,190,11
Forrest Gump,ELVIS PRESLEY,male,3,1,343,4
Forrest Gump,ELVIS,male,16,1,147,27
Forrest Gump,EMCEE,male,8,1,227,19
Forrest Gump,ERNIE,male,7,1,239,11
Forrest Gump,FOOTBALL COACH,male,9,1,212,16
Forrest Gump,FORREST & RECRUITS,unclear,1,1,472,1
Forrest Gump,FORREST JR.,male,9,1,213,6
Forrest Gump,FORREST,male,984,1,3,1396
Forrest Gump,GIRL,female,2,1,395,1
Forrest Gump,GOVERNOR WALLACE,male,15,1,155,30
Forrest Gump,HIGH SCHOOL COACH,male,2,1,396,3
Forrest Gump,HILARY,female,19,1,123,18
Forrest Gump,ISABEL,female,4,1,309,4
Forrest Gump,JENNY'S DAD,male,7,1,240,2
Forrest Gump,JENNY,female,198,1,28,184
Forrest Gump,JOHN LENNON,male,4,1,310,4
Forrest Gump,KATZENBACH,male,10,1,200,11
Forrest Gump,LENORE,female,18,1,133,24
Forrest Gump,LITTLE BOY,male,2,1,397,2
Forrest Gump,LOUISE,female,4,1,311,5
Forrest Gump,LT. DAN,male,215,1,25,339
