line_number,title,label,speaker,gender,year,score,word
65,The Shawshank Redemption,speech,WOMAN,female,1994,9.2,god
65,The Shawshank Redemption,speech,WOMAN,female,1994,9.2,god
65,The Shawshank Redemption,speech,WOMAN,female,1994,9.2,god
73,The Shawshank Redemption,speech,WOMAN,female,1994,9.2,god
73,The Shawshank Redemption,speech,WOMAN,female,1994,9.2,sooo
84,The Shawshank Redemption,speech,D.A.,male,1994,9.2,describe
85,The Shawshank Redemption,speech,D.A.,male,1994,9.2,confrontation
86,The Shawshank Redemption,speech,D.A.,male,1994,9.2,wife
86,The Shawshank Redemption,speech,D.A.,male,1994,9.2,night
86,The Shawshank Redemption,speech,D.A.,male,1994,9.2,murdered
91,The Shawshank Redemption,speech,ANDY,male,1994,9.2,bitter
92,The Shawshank Redemption,speech,ANDY,male,1994,9.2,glad
92,The Shawshank Redemption,speech,ANDY,male,1994,9.2,hated
93,The Shawshank Redemption,speech,ANDY,male,1994,9.2,sneaking
94,The Shawshank Redemption,speech,ANDY,male,1994,9.2,divorce
94,The Shawshank Redemption,speech,ANDY,male,1994,9.2,reno
96,The Shawshank Redemption,speech,D.A.,male,1994,9.2,response
98,The Shawshank Redemption,speech,ANDY,male,1994,9.2,told
98,The Shawshank Redemption,speech,ANDY,male,1994,9.2,grant
101,The Shawshank Redemption,speech,D.A.,male,1994,9.2,hell
102,The Shawshank Redemption,speech,D.A.,male,1994,9.2,reno
102,The Shawshank Redemption,speech,D.A.,male,1994,9.2,words
104,The Shawshank Redemption,speech,D.A.,male,1994,9.2,testimony
104,The Shawshank Redemption,speech,D.A.,male,1994,9.2,neighbors
107,The Shawshank Redemption,speech,ANDY,male,1994,9.2,remember
107,The Shawshank Redemption,speech,ANDY,male,1994,9.2,upset
110,The Shawshank Redemption,speech,D.A.,male,1994,9.2,happened
111,The Shawshank Redemption,speech,D.A.,male,1994,9.2,wife
111,The Shawshank Redemption,speech,D.A.,male,1994,9.2,argued
113,The Shawshank Redemption,speech,ANDY,male,1994,9.2,packed
113,The Shawshank Redemption,speech,ANDY,male,1994,9.2,bag
113,The Shawshank Redemption,speech,ANDY,male,1994,9.2,stay
114,The Shawshank Redemption,speech,ANDY,male,1994,9.2,quentin
116,The Shawshank Redemption,speech,D.A.,male,1994,9.2,glenn
116,The Shawshank Redemption,speech,D.A.,male,1994,9.2,quentin
116,The Shawshank Redemption,speech,D.A.,male,1994,9.2,golf
116,The Shawshank Redemption,speech,D.A.,male,1994,9.2,pro
117,The Shawshank Redemption,speech,D.A.,male,1994,9.2,falmouth
117,The Shawshank Redemption,speech,D.A.,male,1994,9.2,hills
117,The Shawshank Redemption,speech,D.A.,male,1994,9.2,country
117,The Shawshank Redemption,speech,D.A.,male,1994,9.2,club
118,The Shawshank Redemption,speech,D.A.,male,1994,9.2,recently
118,The Shawshank Redemption,speech,D.A.,male,1994,9.2,discovered
119,The Shawshank Redemption,speech,D.A.,male,1994,9.2,lover
121,The Shawshank Redemption,speech,D.A.,male,1994,9.2,follow
123,The Shawshank Redemption,speech,ANDY,male,1994,9.2,bars
124,The Shawshank Redemption,speech,ANDY,male,1994,9.2,decided
124,The Shawshank Redemption,speech,ANDY,male,1994,9.2,drive
124,The Shawshank Redemption,speech,ANDY,male,1994,9.2,quentin's
125,The Shawshank Redemption,speech,ANDY,male,1994,9.2,home
125,The Shawshank Redemption,speech,ANDY,male,1994,9.2,confront
126,The Shawshank Redemption,speech,ANDY,male,1994,9.2,parked
126,The Shawshank Redemption,speech,ANDY,male,1994,9.2,car
127,The Shawshank Redemption,speech,ANDY,male,1994,9.2,turnout
127,The Shawshank Redemption,speech,ANDY,male,1994,9.2,waited
129,The Shawshank Redemption,speech,D.A.,male,1994,9.2,intention
131,The Shawshank Redemption,speech,ANDY,male,1994,9.2,confused
131,The Shawshank Redemption,speech,ANDY,male,1994,9.2,drunk
132,The Shawshank Redemption,speech,ANDY,male,1994,9.2,scare
134,The Shawshank Redemption,speech,D.A.,male,1994,9.2,gun
139,The Shawshank Redemption,speech,D.A.,male,1994,9.2,arrived
140,The Shawshank Redemption,speech,D.A.,male,1994,9.2,house
140,The Shawshank Redemption,speech,D.A.,male,1994,9.2,murdered
142,The Shawshank Redemption,speech,ANDY,male,1994,9.2,sobering
142,The Shawshank Redemption,speech,ANDY,male,1994,9.2,realized
143,The Shawshank Redemption,speech,ANDY,male,1994,9.2,worth
143,The Shawshank Redemption,speech,ANDY,male,1994,9.2,decided
144,The Shawshank Redemption,speech,ANDY,male,1994,9.2,quickie
144,The Shawshank Redemption,speech,ANDY,male,1994,9.2,divorce
146,The Shawshank Redemption,speech,D.A.,male,1994,9.2,quickie
146,The Shawshank Redemption,speech,D.A.,male,1994,9.2,divorce
146,The Shawshank Redemption,speech,D.A.,male,1994,9.2,38
147,The Shawshank Redemption,speech,D.A.,male,1994,9.2,caliber
147,The Shawshank Redemption,speech,D.A.,male,1994,9.2,divorce
147,The Shawshank Redemption,speech,D.A.,male,1994,9.2,wrapped
148,The Shawshank Redemption,speech,D.A.,male,1994,9.2,handtowel
148,The Shawshank Redemption,speech,D.A.,male,1994,9.2,muffle
148,The Shawshank Redemption,speech,D.A.,male,1994,9.2,shots
150,The Shawshank Redemption,speech,D.A.,male,1994,9.2,shot
150,The Shawshank Redemption,speech,D.A.,male,1994,9.2,lover
152,The Shawshank Redemption,speech,ANDY,male,1994,9.2,car
153,The Shawshank Redemption,speech,ANDY,male,1994,9.2,drove
153,The Shawshank Redemption,speech,ANDY,male,1994,9.2,home
153,The Shawshank Redemption,speech,ANDY,male,1994,9.2,sleep
154,The Shawshank Redemption,speech,ANDY,male,1994,9.2,stopped
154,The Shawshank Redemption,speech,ANDY,male,1994,9.2,threw
155,The Shawshank Redemption,speech,ANDY,male,1994,9.2,gun
155,The Shawshank Redemption,speech,ANDY,male,1994,9.2,royal
155,The Shawshank Redemption,speech,ANDY,male,1994,9.2,river
155,The Shawshank Redemption,speech,ANDY,male,1994,9.2,feel
158,The Shawshank Redemption,speech,D.A.,male,1994,9.2,hazy
160,The Shawshank Redemption,speech,D.A.,male,1994,9.2,cleaning
161,The Shawshank Redemption,speech,D.A.,male,1994,9.2,morning
161,The Shawshank Redemption,speech,D.A.,male,1994,9.2,wife
162,The Shawshank Redemption,speech,D.A.,male,1994,9.2,lover
162,The Shawshank Redemption,speech,D.A.,male,1994,9.2,bed
162,The Shawshank Redemption,speech,D.A.,male,1994,9.2,riddled
162,The Shawshank Redemption,speech,D.A.,male,1994,9.2,38
163,The Shawshank Redemption,speech,D.A.,male,1994,9.2,caliber
163,The Shawshank Redemption,speech,D.A.,male,1994,9.2,bullets
163,The Shawshank Redemption,speech,D.A.,male,1994,9.2,strike
164,The Shawshank Redemption,speech,D.A.,male,1994,9.2,fantastic
164,The Shawshank Redemption,speech,D.A.,male,1994,9.2,coincidence
171,The Shawshank Redemption,speech,D.A.,male,1994,9.2,jury
171,The Shawshank Redemption,speech,D.A.,male,1994,9.2,heard
177,The Shawshank Redemption,speech,ANDY,male,1994,9.2,strike
177,The Shawshank Redemption,speech,ANDY,male,1994,9.2,fantastic
177,The Shawshank Redemption,speech,ANDY,male,1994,9.2,coincidence
179,The Shawshank Redemption,speech,D.A.,male,1994,9.2,sir
179,The Shawshank Redemption,speech,D.A.,male,1994,9.2,accord
182,The Shawshank Redemption,speech,D.A.,male,1994,9.2,claim
182,The Shawshank Redemption,speech,D.A.,male,1994,9.2,threw
182,The Shawshank Redemption,speech,D.A.,male,1994,9.2,gun
183,The Shawshank Redemption,speech,D.A.,male,1994,9.2,royal
183,The Shawshank Redemption,speech,D.A.,male,1994,9.2,river
183,The Shawshank Redemption,speech,D.A.,male,1994,9.2,murders
184,The Shawshank Redemption,speech,D.A.,male,1994,9.2,convenient
186,The Shawshank Redemption,speech,ANDY,male,1994,9.2,truth
188,The Shawshank Redemption,speech,D.A.,male,1994,9.2,recall
188,The Shawshank Redemption,speech,D.A.,male,1994,9.2,lt
188,The Shawshank Redemption,speech,D.A.,male,1994,9.2,mincher's
188,The Shawshank Redemption,speech,D.A.,male,1994,9.2,testimony
189,The Shawshank Redemption,speech,D.A.,male,1994,9.2,dragged
189,The Shawshank Redemption,speech,D.A.,male,1994,9.2,river
190,The Shawshank Redemption,speech,D.A.,male,1994,9.2,days
190,The Shawshank Redemption,speech,D.A.,male,1994,9.2,nary
190,The Shawshank Redemption,speech,D.A.,male,1994,9.2,gun
191,The Shawshank Redemption,speech,D.A.,male,1994,9.2,found
191,The Shawshank Redemption,speech,D.A.,male,1994,9.2,comparison
192,The Shawshank Redemption,speech,D.A.,male,1994,9.2,gun
192,The Shawshank Redemption,speech,D.A.,male,1994,9.2,bullets
193,The Shawshank Redemption,speech,D.A.,male,1994,9.2,bloodstained
193,The Shawshank Redemption,speech,D.A.,male,1994,9.2,corpses
194,The Shawshank Redemption,speech,D.A.,male,1994,9.2,victims
195,The Shawshank Redemption,speech,D.A.,male,1994,9.2,convenient
198,The Shawshank Redemption,speech,ANDY,male,1994,9.2,innocent
198,The Shawshank Redemption,speech,ANDY,male,1994,9.2,crime
199,The Shawshank Redemption,speech,ANDY,male,1994,9.2,sir
199,The Shawshank Redemption,speech,ANDY,male,1994,9.2,decidedly
199,The Shawshank Redemption,speech,ANDY,male,1994,9.2,inconvenient
200,The Shawshank Redemption,speech,ANDY,male,1994,9.2,gun
200,The Shawshank Redemption,speech,ANDY,male,1994,9.2,found
205,The Shawshank Redemption,speech,D.A.,male,1994,9.2,ladies
205,The Shawshank Redemption,speech,D.A.,male,1994,9.2,gentlemen
205,The Shawshank Redemption,speech,D.A.,male,1994,9.2,heard
206,The Shawshank Redemption,speech,D.A.,male,1994,9.2,evidence
207,The Shawshank Redemption,speech,D.A.,male,1994,9.2,accused
208,The Shawshank Redemption,speech,D.A.,male,1994,9.2,scene
208,The Shawshank Redemption,speech,D.A.,male,1994,9.2,crime
208,The Shawshank Redemption,speech,D.A.,male,1994,9.2,foot
209,The Shawshank Redemption,speech,D.A.,male,1994,9.2,prints
209,The Shawshank Redemption,speech,D.A.,male,1994,9.2,tire
209,The Shawshank Redemption,speech,D.A.,male,1994,9.2,tracks
209,The Shawshank Redemption,speech,D.A.,male,1994,9.2,bullets
210,The Shawshank Redemption,speech,D.A.,male,1994,9.2,scattered
210,The Shawshank Redemption,speech,D.A.,male,1994,9.2,ground
210,The Shawshank Redemption,speech,D.A.,male,1994,9.2,bear
211,The Shawshank Redemption,speech,D.A.,male,1994,9.2,fingerprints
211,The Shawshank Redemption,speech,D.A.,male,1994,9.2,broken
211,The Shawshank Redemption,speech,D.A.,male,1994,9.2,bourbon
212,The Shawshank Redemption,speech,D.A.,male,1994,9.2,bottle
212,The Shawshank Redemption,speech,D.A.,male,1994,9.2,likewise
212,The Shawshank Redemption,speech,D.A.,male,1994,9.2,fingerprints
213,The Shawshank Redemption,speech,D.A.,male,1994,9.2,beautiful
214,The Shawshank Redemption,speech,D.A.,male,1994,9.2,lover
214,The Shawshank Redemption,speech,D.A.,male,1994,9.2,lying
215,The Shawshank Redemption,speech,D.A.,male,1994,9.2,dead
215,The Shawshank Redemption,speech,D.A.,male,1994,9.2,other's
215,The Shawshank Redemption,speech,D.A.,male,1994,9.2,arms
216,The Shawshank Redemption,speech,D.A.,male,1994,9.2,sinned
216,The Shawshank Redemption,speech,D.A.,male,1994,9.2,crime
217,The Shawshank Redemption,speech,D.A.,male,1994,9.2,merit
217,The Shawshank Redemption,speech,D.A.,male,1994,9.2,death
217,The Shawshank Redemption,speech,D.A.,male,1994,9.2,sentence
220,The Shawshank Redemption,speech,D.A.,male,1994,9.2,suspect
220,The Shawshank Redemption,speech,D.A.,male,1994,9.2,dufresne's
220,The Shawshank Redemption,speech,D.A.,male,1994,9.2,answer
222,The Shawshank Redemption,speech,D.A.,male,1994,9.2,suspect
222,The Shawshank Redemption,speech,D.A.,male,1994,9.2,carried
